old_name,keep_name,confidence,note
F. Selemani,Faïz Selemani,مؤكد,نفس player_id + الصيغ متوافقة (فايز سليماني)
Feras Al Brikan,Firas Al-Buraikan,مؤكد,نفس player_id (فراس البريكان)
F. Niță,Florin Niță,مؤكد,نفس player_id + الصيغ متوافقة (فلورين نيتا)
F. Tănase,Florin Tănase,مؤكد,نفس player_id + الصيغ متوافقة (فلورين تاناسي)
F. Calvo,Francisco Calvo,مؤكد,نفس player_id + الصيغ متوافقة (فرانسيسكو كالفو)
F. Kamano,François Kamano,مؤكد,نفس player_id + الصيغ متوافقة (فرانسوا كامانو)
G. NKoudou,Georges-Kévin N'Koudou,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (جورج كيفن نكودو)
G. Wijnaldum,Georginio Wijnaldum,مؤكد,نفس player_id + الصيغ متوافقة (جورجينيو فينالدوم)
G. Hawsawi,Ghassan Hawsawi,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (غسان هوساوي)
G. Kamara,Glen Kamara,مؤكد,نفس player_id + الصيغ متوافقة (غلين كامارا)
G. Cuéllar,Gustavo Cuéllar,مؤكد,نفس player_id + الصيغ متوافقة (غوستافو كويار)
H. Dardour,H. Al Dardour,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (حمزة الدردور)
H. Obeidat,H. Obaidat,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (حمزة عبيدات)
H. Salim,H. Salem,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (حيدر سليم)
H. Diallo,Habib Diallo,مؤكد,نفس player_id + الصيغ متوافقة (حبيب ديالو)
Haitham Asiri,Haitham Mohammed Asiri,مؤكد,نفس player_id + الصيغ متوافقة (هيثم عسيري)
H. Al Yami,Hamad Al Yami,مؤكد,نفس player_id + الصيغ متوافقة (حمد اليامي)
Hamed Al-Shanqity,Hamed Al Shanqiti,مؤكد,نفس player_id + الصيغ متوافقة (حامد الشنقيطي)
H. Abdulkareem,Hassan Abdulkareem,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (حسن عبد الكريم)
Hasan Abdulkareem,Hassan Abdulkareem,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (حسن عبد الكريم)
Hassan Abu Sharara,Hassan Abu Shararah,مؤكد,نفس player_id + الصيغ متوافقة (حسن أبو شرارة)
Hassan Alshammrani,Hassan Al Shamrani,مؤكد,نفس player_id (حسن الشمراني)
H. Tambakti,Hassan Altambakti,مؤكد,نفس player_id (حسان تمبكتي)
H. Idris,Hassan Idris,مؤكد,نفس player_id + الصيغ متوافقة (حسن إدريس)
H. Bahebri,Hattan Bahebri,مؤكد,نفس player_id + الصيغ متوافقة (هتان باهبري)
Hazzaa Al-Ghamdi,Hazzaa Ahmed Al Ghamdi,مؤكد,نفس player_id + الصيغ متوافقة (هزاع الغامدي)
H. Fayaq,Hello Fayeq,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (هالو فايل)
H. Onyekuru,Henry Onyekuru,مؤكد,نفس player_id + الصيغ متوافقة (هنري أونيكورو)
Hussain Al-Showaish,Hussain Al Shuwaish,مؤكد,نفس player_id + الصيغ متوافقة (حسين الشويش)
Hussain Al-Shuweish,Hussain Al Shuwaish,مؤكد,نفس player_id + الصيغ متوافقة (حسين الشويش)
Ibrahim Alnakhli,Ibrahim Al Nakhli,مؤكد,نفس player_id (إبراهيم النخلي)
I. Ashi,Ibrahim Ashi,مؤكد,نفس player_id + الصيغ متوافقة (إبراهيم عشي)
I. Šehić,Ibrahim Šehić,مؤكد,نفس player_id + الصيغ متوافقة (إبراهيم شيهيتش)
Islam Hawsawi,Islam Ahmed Hawsawi,مؤكد,نفس player_id + الصيغ متوافقة (إسلام هوساوي)
I. Soro,Ismaila Soro,مؤكد,نفس player_id + الصيغ متوافقة (إسماعيلا سورو)
I. Rakitić,Ivan Rakitić,مؤكد,نفس player_id + الصيغ متوافقة (إيفان راكيتيتش)
I. Toney,Ivan Toney,مؤكد,نفس player_id + الصيغ متوافقة (إيفان توني)
Jóhann Guðmundsson,J. Guðmunds­son,مؤكد,نفس player_id + الصيغ متوافقة (يوهان غودموندسون)
J. Kareem,Jabar Kareem,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (جبار كريم)
J. Muleka,Jackson Muleka,مؤكد,نفس player_id + الصيغ متوافقة (جاكسون موليكا)
J. Rinne,Jacob Rinne,مؤكد,نفس player_id + الصيغ متوافقة (جاكوب رينه)
Jamaan Al Dosari,Jamaan Al Dawsari,مؤكد,نفس player_id (جمعان الدوسري)
J. Al Hassan,Jawad Al Hassan,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (جواد الحسن)
J. El Yamiq,Jawad El Yamiq,مؤكد,نفس player_id + الصيغ متوافقة (جواد الياميق)
J. Medina,Jesús Medina,مؤكد,نفس player_id + الصيغ متوافقة (خيسوس ميدينا)
J. Durán,Jhon Durán,مؤكد,نفس player_id + الصيغ متوافقة (جون دوران)
J. Henderson,Jordan Henderson,مؤكد,نفس player_id + الصيغ متوافقة (جوردان هندرسون)
J. Pedroza,Juan Pedroza,مؤكد,نفس player_id + الصيغ متوافقة (خوان بيدروزا)
J. Bacuna,Juninho Bacuna,مؤكد,نفس player_id + الصيغ متوافقة (جونينيو باكونا)
J. Moreno,Júnior Moreno,مؤكد,نفس player_id + الصيغ متوافقة (جونيور مورينو)
Hussain Al-Sebyani,Hussain Al Sibyani,مؤكد,نفس player_id (حسين الصبياني) [سلسلة عبر K. A. Al Sibyani H.]
Hussain Alsebyani,Hussain Al Sibyani,مؤكد,نفس player_id (حسين الصبياني) [سلسلة عبر K. A. Al Sibyani H.]
K. Darwiche,Karim Darwich,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (كريم درويش)
K. El Berkaoui,Karim El Berkaoui,مؤكد,نفس player_id + الصيغ متوافقة (كريم البركاوي)
K. Toko-Ekambi,Karl Toko Ekambi,مؤكد,نفس player_id + الصيغ متوافقة (كارل توكو إيكامبي)
K. Muhar,Karlo Muhar,مؤكد,نفس player_id + الصيغ متوافقة (كارلو موهار)
Khaled Al-Semeiry,Khaled Al Sumairi,مؤكد,نفس player_id (خالد السميري)
K. Al Lazam,Khaled Al-Lazam,مؤكد,نفس player_id + الصيغ متوافقة (خالد اللزام)
K. Narey,Khaled Narey,مؤكد,نفس player_id + الصيغ متوافقة (خالد ناري)
Khalifah Aldawsari,Khalifah Al Dawsari,مؤكد,نفس player_id (خليفة الدوسري) [سلسلة عبر Khalifah Al Dawsari] [صُحِّح الاسم المعروض]
Seung-gyu Kim,Kim Seung-Gyu,مؤكد,نفس player_id (كيم سونغ غيو)
K. Musona,Knowledge Musona,مؤكد,نفس player_id + الصيغ متوافقة (نوليدج موسونا)
K. Casteels,Koen Casteels,مؤكد,نفس player_id + الصيغ متوافقة (كوين كاستيلس)
K. Fortounis,Kostas Fortounis,مؤكد,نفس player_id + الصيغ متوافقة (كوستاس فورتونيس)
K. Zouma,Kurt Zouma,مؤكد,نفس player_id + الصيغ متوافقة (كورت زوما)
K. N'Doram,Kévin N'Doram,مؤكد,نفس player_id + الصيغ متوافقة (كيفن ندورام)
K. NDoram,Kévin N'Doram,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (كيفن ندورام)
L. López,Lisandro López,مؤكد,نفس player_id + الصيغ متوافقة (ليساندرو لوبيز)
L. Zelarayán,Lucas Zelarayán,مؤكد,نفس player_id + الصيغ متوافقة (لوكاس زيلارايان)
L. Maximiano,Luís Maximiano,مؤكد,نفس player_id + الصيغ متوافقة (لويس ماكسيميانو)
M. Semreen,M. Samreen,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مهند سمرين)
M. T. Barry,Mamadou Barry,مؤكد,نفس player_id + الصيغ متوافقة (مامادو باري) [صُحِّح الاسم المعروض]
M. Kamil,Mahdi Kamil,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مهدي كامل)
Malek Al Abdulmonam,Malek Al Abadalmanam,مؤكد,نفس player_id (مالك العبدالمنعم)
M. Loum,Mamadou Loum,مؤكد,نفس player_id + الصيغ متوافقة (مامادو لوم)
Mansor Al Beshe,Mansour Al Bishi,مؤكد,نفس player_id (منصور البيشي)
M. Tisserand,Marcel Tisserand,مؤكد,نفس player_id + الصيغ متوافقة (مارسيل تيسيران)
M. Brozović,Marcelo Brozovic,مؤكد,نفس player_id + الصيغ متوافقة (مارسيلو بروزوفيتش) [سلسلة عبر Marcelo Brozović]
M. Campaña,Martín Campaña,مؤكد,نفس player_id + الصيغ متوافقة (مارتين كامبانيا)
M. Borrell,Mateo Borrell,مؤكد,نفس player_id + الصيغ متوافقة (ماتيو بوريل)
M. Normann,Mathias Normann,مؤكد,نفس player_id + الصيغ متوافقة (ماتياس نورمان)
M. Vargas,Matías Vargas,مؤكد,نفس player_id + الصيغ متوافقة (ماتياس فارغاس)
M. Abeid,Mehdi Abeid,مؤكد,نفس player_id + الصيغ متوافقة (مهدي عبيد)
M. Al Nemer,Meshari Al Nemer,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مشاري النمر)
M. Fouzair,Mohamed Fouzair,مؤكد,نفس player_id + الصيغ متوافقة (محمد فوزير)
M. Konaté,Mohamed Konate,مؤكد,نفس player_id + الصيغ متوافقة (محمد كوناتي)
M. Refaat,Mohamed Refat,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد رفعت)
M. Rifaat,Mohamed Refat,مؤكد,نفس player_id (محمد رفعت)
M. Abu Hasheesh,Mohammad Abu Hasheesh,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد أبو حشيش)
M. Abu Zreiq,Mohammad Abu Zraiq,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد أبو زريق)
M. Hassan,Mohammad Hasan,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد حسن)
M. Khalid,Mohammad Khaled,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد خالد)
M. Salah,Mohammad Salah,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد صلاح)
M. Sami,Mohammad Sami,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد سامي)
M. Zureigat,Mohammad Zureigat,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد زريقات)
M. Abu Abd,Mohammed Abo Abd,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد أبو عبد)
M. Abu Al Shamat,Mohammed  Abu Al-Shamat,مؤكد,نفس player_id + الصيغ متوافقة (محمد أبو الشامات) [سلسلة عبر Mohammed Abu Al-Shamat]
M. Adams,Mohammed Adams,مؤكد,نفس player_id + الصيغ متوافقة (محمد آدمز)
M. Al Dossari,Mohammed Al Dossari,مؤكد,نفس player_id + الصيغ متوافقة (محمد الدوسري)
Mohammed Al Dosari,Mohammed Al Dossari,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد الدوسري)
Mohammed Al Dossary,Mohammed Al Dossari,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد الدوسري)
M. Al Ghanem,Mohammed Al Ghanem,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد الغانم)
M. Al Hakim,Mohammed Al Hakim,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد الحكيم)
M. Al Nuqaydan,Mohammed Al Nuqaydan,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد النقيدان)
M. Al-Qahtani,Mohammed Al Qahtani,مؤكد,نفس player_id + الصيغ متوافقة (محمد القحطاني)
M. Fallatah,Mohammed Fallatah,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد فلاته)
M. Marran,Mohammed Khalil Marran,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (محمد مران)
Mohammed Marran,Mohammed Khalil Marran,مؤكد,نفس player_id + الصيغ متوافقة (محمد مران)
Mohammed Qasim,Mohammad Qasem,مؤكد,متصل عبر صيغة وسيطة (محمد قاسم) [سلسلة عبر Mohammed Qassem] [صُحِّح الاسم المعروض]
M. Zeghba,Moustapha Zeghba,مؤكد,نفس player_id + الصيغ متوافقة (مصطفى زغبة)
M. Al Buainain,Mubarak Al Buainain,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مبارك البوعينين)
Muhannad Alshanqeeti,Muhannad Al Shanqiti,مؤكد,نفس player_id (مهند الشنقيطي) [سلسلة عبر Muhannad Al Shanqiti] [صُحِّح الاسم المعروض]
M. Younis,Munaf Younus,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مناف يونس)
M. Al Juwayr,Musab Fahd Aljuwayr,مؤكد,نفس player_id (مصعب الجوير)
M. Saadoon,Mustafa Saadoun,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مصطفى سعدون)
M. Sadoun,Mustafa Saadoun,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مصطفى سعدون)
Mustafa Sadoun,Mustafa Saadoun,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (مصطفى سعدون)
N. Alioui,Nabil Alioui,مؤكد,نفس player_id + الصيغ متوافقة (نبيل عليوي)
Nader Al Sharari,Nader Abdullah Al Sharari,مؤكد,نفس player_id + الصيغ متوافقة (نادر الشراري)
N. Nandez,Nahitan Nández,مؤكد,نفس player_id + الصيغ متوافقة (ناهيتان نانديز)
Naif Asiri,Naif Assery,مؤكد,نفس player_id (نايف عسيري)
Naif Hazazi,Naif Hazzazi,مؤكد,نفس player_id + الصيغ متوافقة (نايف هزازي)
N. Masoud,Naif Masoud,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (نايف مسعود)
N. Al Bishi,Nasser Al Bishi,مؤكد,نفس player_id + الصيغ متوافقة (ناصر البيشي)
Nawaf Al-Abed,Nawaf Al Abid,مؤكد,نفس player_id (نواف العابد)
N. Al Habashi,Nawaf Al Habashi,مؤكد,نفس player_id + الصيغ متوافقة (نواف الحبشي) [سلسلة عبر Nawaf Al-Habashi]
N. Al Hawsawi,Nawaf Al Hawsawi,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (نواف الهوساوي) [سلسلة عبر Nawaf Al-Hawsawi]
Nawaf Al Harthi,Nawwaf Al Harthi,مؤكد,نفس player_id + الصيغ متوافقة (نواف الحارثي)
N. Bajrami,Nedim Bajrami,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (نديم بايرامي)
N. Muhammad,Nihad Muhammad,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (نهاد محمد)
Nouh Al-Mousa,Noah Al Mousa,مؤكد,نفس player_id + الصيغ متوافقة (نوح الموسى)
O. Ighalo,Odion Ighalo,مؤكد,نفس player_id + الصيغ متوافقة (أوديون إيغالو)
O. Mosquera,Orlando Mosquera,مؤكد,نفس player_id + الصيغ متوافقة (أورلاندو موسكيرا)
O. Shukurov,Otabek Shukurov,مؤكد,نفس player_id + الصيغ متوافقة (أوتابيك شوكوروف)
P. Mari,Pablo Marí,مؤكد,نفس player_id + الصيغ متوافقة (بابلو ماري)
P. Oliveira,Paulo Oliveira,مؤكد,نفس player_id + الصيغ متوافقة (باولو أوليفيرا)
Qasim Lajami,Qasim Al-Oujami,مؤكد,نفس player_id (قاسم لاجامي)
Qassem Lajami,Qasim Al-Oujami,مؤكد,نفس player_id (قاسم لاجامي)
R. Banihani,R. Bani Hani,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (رزق بني هاني)
R. Kaabi,Rakan Kaabi,مؤكد,نفس player_id + الصيغ متوافقة (راكان كعبي)
R. Al Dossary,Rayan Al Dossary,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (ريان الدوسري)
Ryan Al-Mousa,Rayan Al Mousa,مؤكد,نفس player_id + الصيغ متوافقة (ريان الموسى)
R. Enad,Rayan Enad,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (ريان عناد)
Rayan Hamidou,Rayane Hamidou,مؤكد,نفس player_id + الصيغ متوافقة (ريان حميدو)
R. López,Renzo López,مؤكد,نفس player_id + الصيغ متوافقة (رينزو لوبيز)
R. Mahrez,Riyad Mahrez,مؤكد,نفس player_id + الصيغ متوافقة (رياض محرز)
Ibañez,Roger Ibañez,مؤكد,نفس player_id + الصيغ متوافقة (روجر إيبانيز)
R. Saïss,Romain Saïss,مؤكد,نفس player_id + الصيغ متوافقة (رومان سايس)
S. Outtara,S. Ouattara,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سليمان واتارا)
S. Abdulameer,Saad Abdul Ameer,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سعد عبد الأمير)
Saad Al Mosa,Saad Al-Mousa,مؤكد,نفس player_id (سعد الموسى)
S. Bguir,Saad Bguir,مؤكد,نفس player_id + الصيغ متوافقة (سعد بقير)
Saad Al Nasser,Saad Fahad Al Nasser,مؤكد,نفس player_id + الصيغ متوافقة (سعد الناصر)
S. Natiq,Suad Natiq,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سعد ناطق) [سلسلة عبر Saad Natiq]
S. Mane,Sadio Mané,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (ساديو ماني) [سلسلة عبر Sadio Mané] [صُحِّح الاسم المعروض]
S. Al Johani,Safwan Saud Aljohani,مؤكد,نفس player_id (صفوان الجهني)
S. Balhareth,Saif Balhareth,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سيف بالحارث)
S. Alaa,Sajjad Alaa,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سجاد علاء)
S. Raad,Sajjad Raad,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سجاد رعد)
Saleh Aboulshamat,Saleh Abu Al Shamat,مؤكد,نفس player_id (صالح أبو الشامات) [سلسلة عبر Saleh Abu Al Shamat] [صُحِّح الاسم المعروض]
Sami Al-Khaibary,Sami Al Khaibari,مؤكد,نفس player_id + الصيغ متوافقة (سامي الخيبري)
Sami Al Naji,Sami Al-Najei,مؤكد,نفس player_id (سامي النجعي)
Samuel,Samuel Portugal,مؤكد,نفس player_id (صامويل بورتغال)
S. Al Rashid,Saud Al Rashed,مؤكد,نفس player_id + الصيغ متوافقة (سعود الراشد)
S. Al Tumbukti,Saud Al Tumbukti,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سعود التمبكتي)
Saud Zidan,Saud Zaydan,مؤكد,نفس player_id (سعود زيدان)
S. Benrahma,Said Benrahma,مؤكد,نفس player_id + الصيغ متوافقة (سعيد بن رحمة) [سلسلة عبر Saïd Benrahma]
S. Ageed,Seamend Akeed,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (سيامند أكيد)
S. Fofana,Seko Fofana,مؤكد,نفس player_id + الصيغ متوافقة (سيكو فوفانا)
Shaquille Pinas,Shaquille Riley Pinas,مؤكد,نفس player_id + الصيغ متوافقة (شاكيل بيناس) [سلسلة عبر Shaquille Riley Pinas] [صُحِّح الاسم المعروض]
Shararh,Sharara,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (شرارة)
S. Ganvoula,Silvère Ganvoula,مؤكد,نفس player_id + الصيغ متوافقة (سيلفير غانفولا)
S. Bendebka,Sofiane Bendebka,مؤكد,نفس player_id + الصيغ متوافقة (سفيان بن دبكة)
S. Kvirkvelia,Solomon Kvirkvelia,مؤكد,نفس player_id + الصيغ متوافقة (سولومون كفيركفيليا)
S. Harun,Sultan Harun,مؤكد,نفس player_id + الصيغ متوافقة (سلطان هارون)
Sumayhan Al Nabit,Sumaihan Al-Nabit,مؤكد,نفس player_id + الصيغ متوافقة (سميحان النابت)
Swailem Al-Menhali,Suwailem Al Manhali,مؤكد,نفس player_id + الصيغ متوافقة (سويلم المنهالي)
T. Al Shubili,Talal Al Shubili,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (طلال الشبيلي)
T. Murg,Thomas Murg,مؤكد,نفس player_id + الصيغ متوافقة (توماس مورغ)
T. Al Madani,Turki Al Madani,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (تركي المدني)
U. Matić,Uroš Matić,مؤكد,نفس player_id + الصيغ متوافقة (أوروش ماتيتش)
V. Atangana,Valentin Atangana Edoa,مؤكد,نفس player_id (فالنتين أتانغانا)
V. Vada,Valentín Vada,مؤكد,نفس player_id + الصيغ متوافقة (فالنتين فادا)
V. Sierro,Vincent Sierro,مؤكد,نفس player_id + الصيغ متوافقة (فنسنت سييرو)
Rangel,Vinicius Rangel,مؤكد,نفس player_id + الصيغ متوافقة (فينيسيوس رانجيل)
V. Stojković,Vladimir Stojković,مؤكد,نفس player_id + الصيغ متوافقة (فلاديمير ستويكوفيتش)
W. Ramadan,Wakaa Ramadan,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (وكاع رمضان)
W. Al Ahmad,Waleed Al-Ahmed,مؤكد,نفس player_id + الصيغ متوافقة (وليد الأحمد)
Y. Hmoud,Y. Hamoud,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (يوسف حمود)
Y. Jalbosh,Y. Jalboush,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (يوسف جلبوش)
Y. Adli,Yacine Adli,مؤكد,نفس player_id + الصيغ متوافقة (ياسين عدلي)
Y. Carrasco,Yannick Carrasco,مؤكد,نفس player_id + الصيغ متوافقة (يانيك كاراسكو)
Y. Al Shammari,Yousef Al Shammari,مؤكد,نفس player_id + الصيغ متوافقة (يوسف الشمري) [سلسلة عبر Yousef Al-Shammari]
Yousef Haqawi,Yousef Hussain Haqawi,مؤكد,نفس player_id + الصيغ متوافقة (يوسف حقوي)
Y. Akcicek,Yusuf Akçiçek,مؤكد,نفس player_id + الصيغ متوافقة (يوسف أكتشيتشيك)
Zaid Tahssen,Zaid Tahseen,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (زيد تحسين)
Ziyad Aljohani,Ziyad Al Johani,مؤكد,نفس player_id (زياد الجهني)
É. Banega,Éver Banega,مؤكد,نفس player_id + الصيغ متوافقة (إيفر بانيغا)
Ó. Duarte,Óscar Duarte,مؤكد,نفس player_id + الصيغ متوافقة (أوسكار دوارتي)
A. Al-Arsa,A. Ersan,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أحمد العرسان)
A. Mari,A. Ersan,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أحمد العرسان)
Ali Jassem,Ali Jasim,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (علي جاسم)
A. Alhaj,A. Al Haj,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (عارف الحاج)
Sisa,Y. Abu Jalbush,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (يوسف أبو جلبوش)
A. Al Attar,M. Al Attar,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (مجد العطار)
Ibrahim,I. Gbadamosi,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (إبراهيم غباداموسي)
M. Al-akash,M. Al Eikish,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (محمد العكش)
M. Aleikish,M. Al Eikish,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (محمد العكش)
Zayed Tahseen,Zaid Tahseen,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (زيد تحسين)
A. Abu Kabir,A. Abu Kabeer,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أحمد أبو كبير)
Amado,A. Moutari,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أمادو موتاري)
B. Thiabat,B. Al Diabat,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (بشار ذيابات)
A. Latif,Ali Lateef,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (علي لطيف)
A. Yasin,Ahmad Yaseen,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أحمد ياسين)
Lucas,L. Santos,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (لوكاس سانتوس)
K. Bani Attiah,K. Baniateyah,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (خليل بني عطية)
M. Khaleel,Mahmoud Khalil,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (محمود خليل)
A. Shaira,A. Abu Shaireh,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أمين أبو شحيرة)
A. Al Hajj,A. Al Haj,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (عارف الحاج)
A. Al-Refaei,A. Al Refaie,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أحمد الرفاعي)
A. Alsanati,André Al Sanati,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (أندريه السناطي)
F. Shelbaieh,F. Shalbaya,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (فراس شلباية)
H. Al Roshidi,H. Al Rushdi,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (حاتم الرويشدي)
Issa,I. Al Sabah,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (عيسى السباح)
M. Al-Aksh,M. Al Eikish,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (محمد العكش)
M. El Gohary,M. Al-Jawhari,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (محمد الجوهري)
O. Nouri,Omar Nori,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (عمر نوري)
W. Al Bari,W. Al Riyalat,مؤكد,تجزؤ قائمة الهدافين — نفس الترجمة (وسيم الريالات)
Hamed Al Shanqiti,Hamed Al-Shanqity,مؤكد,نفس player_id (حامد الشنقيطي) [سلسلة عبر A. M. Yousef H.]
A. Mboge,Abdoulie Mboge,مؤكد,نفس player_id + الصيغ متوافقة (عبدولي مبوجي)
Abdulaziz Masnom,Abdulaziz Awadh Masnom,مؤكد,نفس player_id + الصيغ متوافقة (عبدالعزيز مسنوم)
A. Al Hadhood,Abdulaziz Hadhood,مؤكد,نفس player_id + الصيغ متوافقة (عبدالعزيز الهدهود)
Abdulaziz Makin,Abdulaziz Makeen,مؤكد,نفس player_id (عبدالعزيز مكين)
Abdulaziz Making,Abdulaziz Makeen,مؤكد,نفس player_id (عبدالعزيز مكين)
A. Al Shereaf,Abdulrahman Al-Shereaf,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالرحمن الشريف)
A. Sahhari,Abdulrahman Sahhari,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالرحمن سحاري)
A. Hejji,Ala'a Al-Hejji,مؤكد,نفس player_id + الصيغ متوافقة (علاء حجي)
A. Vergaz,Alejandro Vergaz,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أليخاندرو فيرغاز)
A. Al Azaizeh,Ali Al Azaizah,مؤكد,نفس player_id + الصيغ متوافقة (علي العزايزة)
A. Haraj,Amjad Haraj,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أمجد حراج)
A. Al Najjar,Ammar Al Najjar,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عمار النجار)
A. Dahal,Awad Dahal,مؤكد,نفس player_id + الصيغ متوافقة (عوض دحل)
B. Schenkeveld,Bart Schenkeveld,مؤكد,نفس player_id + الصيغ متوافقة (بارت شينكيفيلد)
Basil Al Sayyali,Basil Yousef Al-Sayyali,مؤكد,نفس player_id + الصيغ متوافقة (باسل السيالي)
D. Arslanagić,Dino Arslanagić,مؤكد,نفس player_id + الصيغ متوافقة (دينو أرسلاناجيتش)
D. Antolić,Domagoj Antolić,مؤكد,نفس player_id + الصيغ متوافقة (دوماغوي أنتوليتش)
E. Sali,Enes Sali,مؤكد,نفس player_id + الصيغ متوافقة (إينيس سالي)
Fahad Jumayah,Fahad Bin Jumayah,مؤكد,نفس player_id + الصيغ متوافقة (فهد الجميعة)
F. Al Shamrani,Farhah Al Shamrani,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (فرحة الشمراني)
